ID,대출등급
TEST_00000,E
TEST_00001,E
TEST_00002,D
TEST_00003,E
TEST_00004,D
TEST_00005,D
TEST_00006,E
TEST_00007,E
TEST_00008,D
TEST_00009,E
TEST_00010,E
TEST_00011,E
TEST_00012,E
TEST_00013,D
TEST_00014,E
TEST_00015,D
TEST_00016,D
TEST_00017,E
TEST_00018,D
TEST_00019,E
TEST_00020,E
TEST_00021,E
TEST_00022,D
TEST_00023,E
TEST_00024,E
TEST_00025,E
TEST_00026,D
TEST_00027,E
TEST_00028,D
TEST_00029,E
TEST_00030,E
TEST_00031,E
TEST_00032,E
TEST_00033,E
TEST_00034,E
TEST_00035,E
TEST_00036,E
TEST_00037,D
TEST_00038,E
TEST_00039,E
TEST_00040,D
TEST_00041,D
TEST_00042,E
TEST_00043,D
TEST_00044,E
TEST_00045,E
TEST_00046,D
TEST_00047,E
TEST_00048,E
TEST_00049,E
TEST_00050,E
TEST_00051,D
TEST_00052,E
TEST_00053,E
TEST_00054,E
TEST_00055,E
TEST_00056,D
TEST_00057,D
TEST_00058,D
TEST_00059,E
TEST_00060,E
TEST_00061,D
TEST_00062,D
TEST_00063,E
TEST_00064,E
TEST_00065,E
TEST_00066,D
TEST_00067,D
TEST_00068,E
TEST_00069,E
TEST_00070,E
TEST_00071,D
TEST_00072,D
TEST_00073,E
TEST_00074,E
TEST_00075,E
TEST_00076,E
TEST_00077,E
TEST_00078,E
TEST_00079,E
TEST_00080,E
TEST_00081,D
TEST_00082,D
TEST_00083,E
TEST_00084,D
TEST_00085,E
TEST_00086,E
TEST_00087,E
TEST_00088,E
TEST_00089,E
TEST_00090,D
TEST_00091,D
TEST_00092,E
TEST_00093,D
TEST_00094,D
TEST_00095,E
TEST_00096,D
TEST_00097,D
TEST_00098,D
TEST_00099,E
TEST_00100,E
TEST_00101,E
TEST_00102,E
TEST_00103,D
TEST_00104,E
TEST_00105,D
TEST_00106,D
TEST_00107,E
TEST_00108,E
TEST_00109,D
TEST_00110,E
TEST_00111,E
TEST_00112,E
TEST_00113,E
TEST_00114,E
TEST_00115,E
TEST_00116,E
TEST_00117,D
TEST_00118,E
TEST_00119,D
TEST_00120,E
TEST_00121,E
TEST_00122,E
TEST_00123,E
TEST_00124,E
TEST_00125,E
TEST_00126,D
TEST_00127,D
TEST_00128,E
TEST_00129,E
TEST_00130,D
TEST_00131,E
TEST_00132,E
TEST_00133,E
TEST_00134,E
TEST_00135,E
TEST_00136,E
TEST_00137,E
TEST_00138,D
TEST_00139,E
TEST_00140,E
TEST_00141,E
TEST_00142,E
TEST_00143,D
TEST_00144,E
TEST_00145,E
TEST_00146,D
TEST_00147,E
TEST_00148,E
TEST_00149,E
TEST_00150,E
TEST_00151,D
TEST_00152,E
TEST_00153,E
TEST_00154,E
TEST_00155,E
TEST_00156,E
TEST_00157,D
TEST_00158,D
TEST_00159,E
TEST_00160,D
TEST_00161,E
TEST_00162,D
TEST_00163,E
TEST_00164,D
TEST_00165,D
TEST_00166,D
TEST_00167,D
TEST_00168,D
TEST_00169,E
TEST_00170,E
TEST_00171,E
TEST_00172,D
TEST_00173,E
TEST_00174,E
TEST_00175,E
TEST_00176,E
TEST_00177,E
TEST_00178,E
TEST_00179,D
TEST_00180,E
TEST_00181,E
TEST_00182,D
TEST_00183,E
TEST_00184,D
TEST_00185,E
TEST_00186,E
TEST_00187,D
TEST_00188,E
TEST_00189,E
TEST_00190,E
TEST_00191,E
TEST_00192,D
TEST_00193,D
TEST_00194,E
TEST_00195,E
TEST_00196,D
TEST_00197,E
TEST_00198,E
TEST_00199,E
TEST_00200,E
TEST_00201,D
TEST_00202,E
TEST_00203,E
TEST_00204,E
TEST_00205,D
TEST_00206,D
TEST_00207,E
TEST_00208,D
TEST_00209,D
TEST_00210,D
TEST_00211,E
TEST_00212,E
TEST_00213,D
TEST_00214,D
TEST_00215,E
TEST_00216,E
TEST_00217,E
TEST_00218,D
TEST_00219,D
TEST_00220,D
TEST_00221,E
TEST_00222,E
TEST_00223,D
TEST_00224,E
TEST_00225,D
TEST_00226,E
TEST_00227,E
TEST_00228,D
TEST_00229,D
TEST_00230,D
TEST_00231,D
TEST_00232,E
TEST_00233,E
TEST_00234,D
TEST_00235,D
TEST_00236,D
TEST_00237,E
TEST_00238,D
TEST_00239,E
TEST_00240,D
TEST_00241,E
TEST_00242,D
TEST_00243,D
TEST_00244,D
TEST_00245,E
TEST_00246,E
TEST_00247,E
TEST_00248,D
TEST_00249,D
TEST_00250,E
TEST_00251,E
TEST_00252,D
TEST_00253,E
TEST_00254,E
TEST_00255,D
TEST_00256,D
TEST_00257,E
TEST_00258,E
TEST_00259,D
TEST_00260,E
TEST_00261,D
TEST_00262,E
TEST_00263,E
TEST_00264,D
TEST_00265,E
TEST_00266,E
TEST_00267,D
TEST_00268,D
TEST_00269,E
TEST_00270,E
TEST_00271,D
TEST_00272,E
TEST_00273,D
TEST_00274,D
TEST_00275,E
TEST_00276,E
TEST_00277,D
TEST_00278,E
TEST_00279,D
TEST_00280,D
TEST_00281,E
TEST_00282,D
TEST_00283,E
TEST_00284,E
TEST_00285,D
TEST_00286,E
TEST_00287,E
TEST_00288,E
TEST_00289,E
TEST_00290,E
TEST_00291,D
TEST_00292,E
TEST_00293,E
TEST_00294,D
TEST_00295,D
TEST_00296,D
TEST_00297,D
TEST_00298,E
TEST_00299,E
TEST_00300,E
TEST_00301,D
TEST_00302,E
TEST_00303,D
TEST_00304,D
TEST_00305,E
TEST_00306,E
TEST_00307,E
TEST_00308,E
TEST_00309,E
TEST_00310,D
TEST_00311,D
TEST_00312,E
TEST_00313,E
TEST_00314,E
TEST_00315,E
TEST_00316,E
TEST_00317,E
TEST_00318,E
TEST_00319,E
TEST_00320,E
TEST_00321,D
